dataSource,dateOfReport,reportNo,pageRef,actionPlan,actionPlanName,actionPlanProgram,implementingAgency,agencyName,programName,programAcronym,programName2,assistanceType,asOfDate,targetBudget,expendedAmount,beneficiaryTargetTotal,beneficiaryTotal,beneficaryCategoryOrig,beneficiaryTypeOrig,region,province,cityMunicipality,dswd,lgu,ngos,others,grandTotal,notes,notes2,index,agency,agencyCode,aidCategory,aidCategoryCode,aidType,assistanceType,agencyAllocated,value,shareOfTotalBudget,date,beneficiaryTargetValue,beneficiaryValue,beneficiaryCategory,beneficiaryType,shareOfPop,link,infoText
Report to the Joint Congressional Oversight Committee,4/27/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,4/24/20,,"14,452,659,000","13,556,093","2,504,221",families,low-income families,,,,,,,,,,,12,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,14452659000,8.8995,4/24/20,0,2504221,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,5/4/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/1/20,"82,042,820,097","37,651,263,650","13,556,093","6,455,906",families,low-income families,,,,,,,,,,,13,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,23198604650,14.2851,5/1/20,0,3951685,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,5/11/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/8/20,"82,174,731,500","61,349,659,950","13,556,093","10,292,310",families,low-income families,,,,,,,,,,,14,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,23698396300,14.5928,5/8/20,0,3836404,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,5/18/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/15/20,"82,174,731,500","77,552,625,500","13,556,093","12,800,838",families,low-income families,,,,,,,,,,,15,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,16202965550,9.9773,5/15/20,0,2508528,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,5/25/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/22/20,"82,124,731,500","79,882,464,500","13,556,093","13,185,426",families,low-income families,,,,,,,,,,,16,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,2329839000,1.4347,5/22/20,0,384588,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,6/1/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/29/20,"82,124,731,500","80,545,287,000","13,560,746","13,294,442",families,low-income families,,,,,,,,,,,17,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,662822500,0.4081,5/29/20,0,109016,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,6/8/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,6/5/20,"82,124,731,500","80,613,745,550","13,560,746","13,307,486",families,low-income families,,,,,,,,,,,18,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,68458550,0.0422,6/5/20,0,13044,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,6/15/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,6/12/20,"82,124,731,500","80,663,538,550","13,560,746","13,317,575",families,low-income families,,,,,,,,,,,19,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,82124731500,49793000,0.0307,6/12/20,13560746,10089,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,4/20/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,,various assistance,,,80205469.95,,17232,others,requests,,,,,,,,,medical or burial assistance requests,,20,DSWD,DSWD,social welfare,social,various assistance,Assistance to Individuals in Crisis Situation,0,80205469.95,0.0494,4/20/20,0,17232,others,requests,no data,users,"This assistance covers transporation, medical, or burial costs."
Report to the Joint Congressional Oversight Committee,4/27/20,,3,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,,various assistance,,,104400000,,22459,others,requests,,,,,,,,,medical or burial assistance requests,,21,DSWD,DSWD,social welfare,social,various assistance,Assistance to Individuals in Crisis Situation,0,104400000,0.0643,4/27/20,0,22459,others,requests,no data,users,"This assistance covers transporation, medical, or burial costs."
